Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Total
221090 Socorro do Piauí,1030.6,1164.06,1256.25,1524.29,1736.11,1751.1,2011.56,2465.41,2472.9,2953.62,3390.51,4009.51,3997.29,2285.22
221093 Sussuapara,1364.23,1573.85,1431.77,1769.09,1974.32,2066.01,2383.01,3218.34,4118.06,4135.09,4553.72,5005.02,4997.39,3064.86
221095 Tamboril do Piauí,1289.63,1465.99,1659.53,2306.85,2213.83,2501.67,3049.98,3588.15,2944.65,3286.29,3918.45,4320.59,3900.71,2857.76
221097 Tanque do Piauí,1270.25,1310.5,1376.19,1688.1,2108.2,1951.69,2140.75,2451.65,3283.13,4500.71,4109.1,4875.8,4551.94,2785.6
221100 Teresina,4108.03,4191.35,5034.18,5710.65,5887.37,6646.9,7467.99,8019.49,9353.82,10825.88,12943.98,13866.75,14823.31,8521.24
221110 União,1577.11,1657.92,2026.35,2227.4,2452.95,2849.82,3078.38,3582.24,4708.08,4470.56,5338.11,6267.57,5940.99,3589.26
221120 Uruçuí,2757.38,3018.99,2913.05,5286.61,7785.97,8099.02,19490.26,15803.3,22184.46,28384.72,22005.72,29552.15,31553.32,15966.66
221130 Valença do Piauí,1671,1785.84,1896.83,2149.13,2498.84,2718.04,3075.09,3279.46,3993.07,4440.65,5013.76,5396.79,5789.51,3362.06
221135 Várzea Branca,861.99,955.15,973.99,1174.54,1265.84,1495.13,1476.3,1610.98,2190.25,2805.4,3187.05,3655.46,3596.28,1897.93
221140 Várzea Grande,1096.18,1205.6,1313.91,1948.14,2000.66,1965.29,2251.86,2590.41,2792.63,3192.2,3749.52,4058.36,4263.18,2483.54
221150 Vera Mendes,1240.23,1382.52,1380.11,1779.74,1678.38,2015.12,2480.61,2758.74,3293.99,3958.5,4320.16,4847.43,4692.43,2775.89
221160 Vila Nova do Piauí,1668.88,1681.98,1503.35,1885.21,2423.46,2557.4,3061.83,3353.42,3614.27,4240.12,4711.31,5651.5,5188.39,3220.49
221170 Wall Ferraz,1063.23,1193.48,1276.4,1693.82,1921.69,1957.28,2367.17,2538.75,2717.33,3467.08,3866.85,4464.54,4063.83,2541.16
230010 Abaiara,1350.81,1368.87,1462.95,1803.92,1888.58,1899.44,2299.48,2607.99,2707.02,3032.81,3427.43,3772.06,3635.15,2487.87
230015 Acarape,2251.89,2254.85,2264.84,2304.55,2361.15,2226.02,2527.77,2741.18,3283.93,3670.17,4453.88,5261,5141.87,3186.52
230020 Acaraú,1392.93,1691.61,2026.39,2331.09,2666.54,2768.22,3059.52,3391.34,4025.31,4237.55,5377.66,6422.97,6696.82,3650.22
230030 Acopiara,1515.13,1377.4,1682.93,1874.57,2184.22,2303.13,2536.24,2790.75,3101.17,3331.19,4026.81,4598.07,4559.71,2804.02
230040 Aiuaba,1123.88,1066.43,1272.93,1633.74,1634.9,1949.14,2437.19,2503.09,2974.09,2964.17,3348.61,4113.5,3739.05,2410.16
230050 Alcântaras,1010.8,1260.66,1455.11,1688.13,1847.61,2050.85,2381.69,2431.59,2711.41,3020.56,3507.24,3987.36,3952.29,2451.31
230060 Altaneira,1140.88,1204.67,1484.75,1635.47,1814.7,1943.56,2282.7,2403.2,2919.11,3174.25,3587.78,4085.54,4286.09,2530.39
230070 Alto Santo,2093.23,2076.41,2471.4,2432.5,2570.06,2301.06,2701.95,3076.99,3203.29,3475.6,4712.74,5107.9,4776.51,3173.67
230075 Amontada,1892.07,2031.85,2430.06,2883.24,3151.61,3423.73,3839.66,3439.63,4420.97,3827.25,4669.14,7205.5,8102.93,4051.28
230080 Antonina do Norte,1238.71,1093.48,1519.42,1771.7,1949.31,2168.64,2357.54,2402.46,3435.09,3467.79,4058.28,4474.72,4618.01,2669.56
230090 Apuiarés,1175.44,1214.91,1396.67,1582.84,1733.15,1957.34,2145.34,2225.92,2958.2,3062.69,3756.74,4182.87,4103.74,2447.79
230100 Aquiraz,3265.64,3421.18,3943.87,3835.45,4504.03,5011.82,5188.37,5417.17,7068.21,8418.49,9398.18,10893.8,12560.94,6536.64
230110 Aracati,2634.02,3154.43,3640.73,4074.52,5068.59,5058.3,5554.73,5290.11,6441.72,7019.19,8109.79,9422.95,13245.88,6154.81
230120 Aracoiaba,1438.98,1658.93,1989.82,2197.63,2269.11,2368.81,2785.62,2745.54,3464.67,3773.3,4229.2,5087.93,4848.44,3009.14
230125 Ararendá,1548.35,1617.39,1620.92,1884.41,2006.11,2168.85,2580.46,2589.92,3124.06,3171.71,3708.58,4246.61,4078.67,2660.03
230130 Araripe,1220.07,1466.27,1586.45,2535.85,2194.06,2315.3,2793.59,3152.9,3723.86,3765.72,4313.42,4702.5,4274.98,2952.59
230140 Aratuba,1697.81,1742.2,1864.03,2167.7,2441.15,2714.88,3201.16,3482.66,4388.54,4027.52,5246.55,5742.25,5150.25,3311.72
230150 Arneiroz,1479.25,1500.54,1898.62,2216.1,2301.79,2572.3,2947.91,2987.01,4036.58,3946.2,4440.31,5058.14,4818.35,3095.4
230160 Assaré,1241.36,1213.1,1402.57,1790.32,1837.7,1943.9,2312.8,2382.22,3077.28,3387.93,3883.33,4542.99,4365.55,2597.21
230170 Aurora,1306.89,1236.14,1571.22,1996.65,1794.02,2027.65,2482.75,2540.9,3257.93,3559.49,3995.88,4764.93,4440.97,2674.39
230180 Baixio,1465.11,1394.33,1658.91,2053.1,2219.78,2418.57,2739.85,2740.81,3553.15,3706.08,4152.24,4705.17,4520.35,2890.69
230185 Banabuiú,1626.31,1538.62,1766.38,2373.5,2743.58,2934.64,3139.63,3373.2,4582.31,4136.94,4795.82,5472.88,5123.87,3390.31
230190 Barbalha,2373.01,2707.26,2882.98,2880.47,3302.42,3503.63,3969.5,4375.83,5563.91,6672.09,8213.76,8934.61,8919.52,5062.57
230195 Barreira,1816.44,1927.87,2154.07,2474.84,2676.65,2671.78,3063.12,3149.13,3662.37,3875.37,4484.5,4996.83,4908.54,3272.44
230200 Barro,1379.35,1360.09,1850.34,2003.9,1959.35,2106.97,2513.93,2656.8,3436.28,3574.76,4113.02,4267.91,4401.93,2772.68
230205 Barroquinha,1174.29,1312.64,1551.86,1922.53,2252.75,2543.26,2871.57,2928.13,3402.31,3441.01,4386.15,4822.33,4720.86,2891.64
230210 Baturité,1529.28,1925.78,1796.15,2128.78,2416.66,2621.74,3030.09,3129,3633.5,4002.09,4984.76,5610.78,5400.07,3301.89
230220 Beberibe,1619.61,1792.09,2020.77,2366.95,2717.99,3010.18,3442.11,3375.75,4045.76,4367.45,5113.52,6135.51,7023.11,3705.09
230230 Bela Cruz,1308.02,1391.19,1737.45,2038.98,2146.25,2197.93,2615.92,2540.16,3205.9,3291.25,3901.32,4129.03,4509.07,2723.66
230240 Boa Viagem,1345.38,1561.89,1865.94,2199.59,2222.21,2376.79,2770.84,2927.26,3563.94,3462.41,4393.51,5029.49,4673.71,2975.8
230250 Brejo Santo,1724.48,1978.72,2067.93,2637.72,2636.08,2839.37,3035.17,3254.05,3988.03,4478.08,5300.96,5952.44,5704.19,3582.57
230260 Camocim,1567.79,1726.34,2186.27,2572.85,3101.79,3165.19,3380.79,3604.89,3946.38,4357.54,5292.67,6535.91,8971.11,3930.63
230270 Campos Sales,1348.43,1577.29,1775.4,1909.24,2155.18,2254.48,2550.23,2617.43,3372.98,3727.95,4369,4854.72,4783.46,2876.4
230280 Canindé,2205.12,2552.43,2902.04,2910.61,2736.51,2633.78,2842.47,3110.38,4101.87,3962.06,4861.49,5501.19,5253.55,3524.85
230290 Capistrano,1311.2,1279.48,1421.44,1908.78,2009.58,2139.46,2539.81,2528.56,2998.26,3108.41,3720.58,4367.54,4037.27,2601.27
230300 Caridade,2447.07,3227.62,2508.91,2183.53,2061.76,1950.08,2237.69,2460.28,3153.05,3141.35,3691.44,4056.66,3825.4,2887.59
230310 Cariré,1200.2,1327.43,1572.89,2069.74,2013.86,2184.12,2409.82,2566.35,3186.21,3389.67,4028.24,5255.8,4281.62,2720.62
230320 Caririaçu,1113.22,1132.29,1342.17,1694.89,2550.83,1772.99,1917.47,2072.26,2882.4,3184.33,3602.37,4069.12,4003.38,2405.13
230330 Cariús,1149.27,1169.67,1316.8,1576.13,1753.92,1857.82,2025.15,2295.99,2716.69,3042.16,3624.09,3902.9,3818.97,2328.29
230340 Carnaubal,1263.35,1238.29,1357.72,1639.77,1950.08,2023.29,2411.4,2554.7,3312.03,3892.89,4319.13,5076.18,4831.88,2801.8
230350 Cascavel,2871.37,3262.31,3879.25,4045,5297.18,5325.95,4726.6,4495.67,5555.15,5721.06,6760.25,7255.08,7183.54,5172.83
230360 Catarina,982.18,996.64,1239.45,1362.54,1531.22,1687.06,1817.48,1912.34,2522.56,2646.75,3168.52,3394.63,3311.8,2092.41
230365 Catunda,1403.85,1455.24,1873.56,2116.51,2085.82,2285.44,2693.6,2840.64,3452.9,3371.63,4467.18,5644.2,4757.53,2998.54
230370 Caucaia,2444.22,2554.35,2871.63,3255.39,3807.23,3781.8,4310.21,4555.41,6037.77,6528.22,7981.54,9791,10881.38,5503.08
230380 Cedro,1422.58,1412.51,1590.69,1919.02,2094.91,2333.23,2610.56,2738.6,3211,3548.34,4338.4,4809.18,4753.35,2837.69
230390 Chaval,1135.26,1265.77,1439.59,1676.99,1941.61,2234.28,2443.63,2387.96,3208.25,3498.85,4139.98,4618.01,4787.76,2678.77
230393 Choró,1302.18,1226.66,1632.35,1803.92,1849.99,2036.45,2276.44,2331.51,2829.39,3130.34,3567.84,4237.51,4036.94,2504.6
230395 Chorozinho,1581.53,1706.17,1896.88,2023.2,2444.4,2370.54,2810.78,2668.32,3818.78,4159.32,4775.19,5281.05,4708.23,3075.09
230400 Coreaú,1083.23,1245.72,1395.38,1639.83,1702.62,1999.24,2216.74,2270.64,2876.26,3124.96,3788.5,4047.6,3982.75,2445.3
230410 Crateús,1688.79,2118.86,2151.8,2652.37,2663.76,2862,3335.08,3990.6,4241.26,4375.31,5282.18,5890.43,5600.92,3616.75
230420 Crato,2653.22,2803.17,3132.33,3491.6,3981.18,4158.55,4283.6,4616.94,5653.29,8079.5,6970.62,8329.39,8082.37,5192.79
230423 Croatá,1421.39,1545.05,1555.56,2011.46,2309.31,2531.84,3101.06,2799.03,3751.05,3916.32,4395.44,4842.5,4537.59,3011.51
230425 Cruz,1536.79,1664.68,1878.11,2021.68,2121.85,2244.09,2515.42,2395.26,3347.89,3265.38,4183.01,4560.8,4737.13,2834.89
230426 Deputado Irapuan Pinheiro,1419.99,1323.77,1682.35,1954.86,2067.17,2432.75,2849.02,2807.34,3484.03,3529,4049,4609.17,4208.7,2841.58
230427 Ererê,1719.28,1235.4,1583.56,1924.12,2153.59,2351.09,2541.3,2991.74,3204.83,3365.62,4189.63,4421.32,4544.51,2833.06
230428 Eusébio,9632.73,10304.46,13884.63,12740.89,15991.6,15222.61,16360.87,18889.47,23292.09,26880.13,27624.73,31301.44,29327.45,20242.63
230430 Farias Brito,1078.26,1122.38,1427.5,1700.09,1752.22,1886.76,2058.8,2125.6,3029.53,3280.98,3894.48,4423.24,4299.86,2418.29
230435 Forquilha,1365.21,1468.14,1771.97,2085.89,2750.82,3261.94,3254.57,3493.65,3669.42,3953.53,4487.55,4785.95,4798.86,3262.86
230440 Fortaleza,5205.22,5493.92,6463.73,7112.76,7687.17,8446.56,9239.75,9955.64,11630.46,12521.57,15131.94,16962.89,17359.53,10428.28
230445 Fortim,3213.53,3409.16,3829.34,5451.69,5023.86,3549.73,3738.55,3637.57,4066.69,4278.96,5273.76,5902.22,5717.56,4428.8
230450 Frecheirinha,1470.45,1498.19,1612.28,1920.6,2092.7,2204.65,2612.7,2630.87,3428.12,3827.89,4864.4,5562.49,5508.18,3052.13
230460 General Sampaio,1635.66,1661.9,1985.56,2481.27,2693.98,3122.05,3966.78,4541.03,3832.18,3777.38,4638.53,5154.68,4993.36,3536.9
230465 Graça,1016.92,1240.28,1405.29,1685.57,1894.38,2101.92,2497.19,2472.51,2743.33,3055.47,3711.23,4005.72,3901.48,2449.55
230470 Granja,1010.49,1168.36,1300.14,1471.78,1656.53,1715.99,1850.85,2188.02,2717.78,3042.24,3641,3575.34,3742.16,2257.15
230480 Granjeiro,1218.46,1281.74,1406.45,1659.07,1758.02,1943.78,2155.43,2407.59,3679.71,3990.71,4225.44,4709.96,4982.75,2635.98
230490 Groaíras,1229.82,1259.05,1622.28,1860.67,1979.27,2084.92,2300.8,2700.56,3024.66,3335.82,3956.02,4213.2,4250.34,2665.73
230495 Guaiúba,1183.87,1336.19,1494.3,1679.02,1895.01,2053.66,2475.18,2753.77,3141.55,3441.69,4177.73,4451.48,4330.02,2732.21
230500 Guaraciaba do Norte,1621.8,1796.64,1913.88,2504.08,2731.73,2869.55,3456.79,3657.29,4514.22,4635.93,5604.63,6218.4,5745.33,3670.95
230510 Guaramiranga,2181.69,2216.95,2303.28,2870.82,2705.49,3099.09,3704.26,3594.3,5651.31,6371.81,7243.58,8275.21,7518.6,4104.67
230520 Hidrolândia,1526.17,1407.24,2030.24,2498.11,2581.12,2779.71,3390.84,3460.63,4043.73,3963.61,4652,5419.84,4982.04,3335.86
230523 Horizonte,6937.75,7341.28,8463.73,8931.65,10528.2,11802.95,11521.47,12927.53,16068.56,19386.69,18041.92,18917.55,16083.43,13584.49
230526 Ibaretama,1348.51,1253.51,1826.72,2005.06,1982.71,2261.08,2856.79,2571.4,3513.7,3184.53,3683.91,4788.79,4091.42,2725.25
230530 Ibiapina,2379.16,2236.78,2606.67,3572.87,3736.16,3726.01,4410.54,4634.73,5528.27,11601.63,6061.66,7070.83,6328.94,4968.14
230533 Ibicuitinga,1497.33,1324.19,1767.64,2037.4,2072.54,2651.55,3193.13,2876.27,3321.99,3423.08,4000.43,4650.4,4435.71,2945.1
230535 Icapuí,2949.96,3348.92,3658.95,4224.8,4557.97,5438.25,6713.72,7394.99,7906.85,8104.72,10415.25,10446.42,11900.99,6843.25
230540 Icó,1365.93,1381.92,1536.42,1821.35,2029.53,2203.81,2622.06,2875.14,3301.21,3632.91,4389.76,4797.56,4819.55,2850.73
230550 Iguatu,2634.14,2895.7,3112,3481.25,4066.91,4221.17,4815.26,4967.85,5605.45,6172.25,7909.11,9030.55,8978.46,5311.2
230560 Independência,1487.66,1582.41,1801.84,2156.5,2337.95,2410.31,2809.62,2876.96,3773.14,4033.37,4748.21,5681.54,4982.91,3132.93
230565 Ipaporanga,1276.26,1575.74,1615.16,2007.58,1968.76,2097.2,2421.83,2284.32,2787.07,2914.98,3499.58,4409.38,3992.49,2528.89
230570 Ipaumirim,1455.25,1335.34,1703.48,1878.95,2009.72,2169.01,2454.86,2806.79,3389.58,3570.74,4178.49,4606.88,4641.8,2803.16
230580 Ipu,1427.1,1611.12,1725.53,2041.63,2289.58,2596.06,2972.8,3051.06,3469.32,3943.47,4631.29,5269.02,5082.74,3095.2
230590 Ipueiras,1222.22,1316.18,1442.51,1749.18,1909,2044.6,2307.8,2522.15,3217.07,3457.91,4096.79,4678.12,4512.56,2639.81
230600 Iracema,1660.16,1527.55,1782.33,2142.39,2533.81,2824.18,3143.2,3724.44,3734.33,4132.19,5286.51,5466.35,5677.58,3398.85
230610 Irauçuba,1322.85,1304.2,1583.98,1788.91,1910.93,2110.08,2356.84,2595.54,3096.06,3281.21,3962.96,4559.74,4554.58,2704.23
230620 Itaiçaba,1898.53,2327.51,2675.93,2985.9,3394.41,3723.91,4315.09,4300.17,3490.38,3508.72,4808,4865.81,4848.23,3658.41
230625 Itaitinga,1406.18,1289.89,1618.2,1798.05,2220.57,2492.32,2826.42,2933.29,4176.95,4786.69,5109.64,5834.74,5021.4,3284.61
230630 Itapajé,1991.06,2255.1,2960.98,3338.03,3816.51,4135.83,3937.92,3768.32,4991.55,5257.74,8740.02,7037.2,6447.98,4605.66
230640 Itapipoca,2032.47,2355.21,2594.68,2845.06,3398.26,3187.44,3761.86,3728.06,4400.45,4631.89,5398.1,6265.06,6576.73,4039.76
230650 Itapiúna,1238.71,1228.88,1392.24,1651.63,1755.69,2040.11,2355.23,2497.9,3232.45,3071.1,3656.65,4300.27,3966.05,2535.11
230655 Itarema,1798.83,2015.19,2191.55,2941.62,3217.88,3360.94,4506.94,4477.85,4766.18,4442.12,5513.98,6323.65,6103.24,4086.09
230660 Itatira,1580.47,1409.64,1770.27,2383.79,2510.46,2411.74,2933.57,3073.38,3969.8,3539.77,3933.36,4828.85,3880.34,3017.09
230670 Jaguaretama,1946.62,1897,2426.36,2811.01,2816.55,3062.1,3415.59,3663.72,4494.86,4493.02,5072.79,5925.87,5382.58,3642.33
230680 Jaguaribara,2288.17,2313.5,3491.86,3471.93,4598.34,3653.19,3828.67,3636.8,4510.1,4783.69,5577.69,5990.4,6309.39,4265.32
230690 Jaguaribe,2058.68,2315.03,2449.32,2806.86,3061.71,3125.27,3676.36,4019.4,5110.03,5613.19,6504.37,7744.06,7912.77,4312.5
230700 Jaguaruana,2118.4,2227.76,2612.35,2899.46,3380.45,3664.9,4474.76,4433.35,5754.83,6475.9,7385.16,7436.03,6599.43,4620.1
230710 Jardim,1049.2,1178.39,1339.17,1611.91,1758,1901.01,2161.86,2316.2,3138.34,3456.04,3850.39,4025.39,4144.44,2449.43
230720 Jati,1355.58,1236.23,1491.3,1906.13,1921.93,2176.31,2522.95,2612.67,3461.99,3848.76,3921.08,4618.95,4435.64,2749.05
230725 Jijoca de Jericoacoara,1361.72,1510,1721.05,1933.43,2197.15,2289.55,2622.35,2609.49,3525.18,3789.01,4648.83,5080.92,5219.26,3091.03
230730 Juazeiro do Norte,2237.41,2452.76,2771.03,3027.05,3382.49,3624.78,4552.2,4754.89,5732.69,6354.86,7841.79,8897.47,9210.68,5116.83
230740 Jucás,1274.83,1368.45,1532.35,1731.82,1897.47,2048.99,2248.85,2546.5,2981.35,3695.74,4241.8,4802.67,4496.03,2700.4
230750 Lavras da Mangabeira,1342.37,1433.53,1592.33,1851.15,1896.75,2116.54,2405.83,2567.92,3141.16,3466.08,3890.97,4341.72,4305.39,2637.63
230760 Limoeiro do Norte,2274.31,2782.3,2826.78,3292.6,4140.88,4950.29,5961.93,7134.9,8870.53,6304.12,7148.08,7449.25,7543.62,5524.4
230763 Madalena,1490.84,1637.5,2214.5,2415.27,2252.06,2406.96,2797.32,2938.89,3861.62,3671.91,4256.81,4982.58,4503.49,3111.78
230765 Maracanaú,7489.83,7955.64,8910.59,9396.35,11388.54,11929.49,12047.69,13108.16,15729.83,17657.55,19613.48,22709.76,22445.12,14160.11
230770 Maranguape,2295.88,2502.57,2812.29,3024.24,4059.95,4735.07,5313.82,5661.27,5960.56,5792.28,6633.2,6951.48,7021.4,4982.29
230780 Marco,1548.92,1897.92,2139.01,2528.41,2917.55,3191.87,3565.61,4069.02,3994.63,4400.01,5528.33,5834.14,6293.39,3808.05
230790 Martinópole,1067.67,1271.74,1396,1531.72,1697.23,1699.12,1824.73,1952.27,2455.15,2724.88,3493.42,3921,3664.93,2256.78
230800 Massapê,1208.52,1438.12,1579.29,1960.45,2099.73,2220.55,2696.3,2758.64,3261.87,3356.98,3824.27,4228.4,4171.29,2738.42
230810 Mauriti,1466.29,1436.91,1669.7,2023.65,2058.61,2109.25,2323.56,2880.88,3567.72,3846.71,3989.86,5003.07,4577.48,2861.51
230820 Meruoca,1235.8,1182.52,1472.17,1834.32,2016.96,2107.09,2489.74,2491.17,2818.55,3118.15,3614.95,4087.32,4069.82,2572.9
230830 Milagres,1525.16,1397.42,1751.08,1994,1891.35,1899.34,2096.23,2190.97,3144.81,3700.86,4127.3,4638.69,4436.96,2662.32
230835 Milhã,1378.08,1403.58,1774.3,1869.06,1964.65,2420.87,2791.19,2782.16,3659.07,3321.89,4282.91,5015.37,4600.28,2868.43
230837 Miraíma,1172.11,1114.71,1376.74,1505.48,1666.44,1760.25,2008.2,2077.53,2697.15,2981.99,3546.05,3942.5,4077.58,2340.82
230840 Missão Velha,1245.74,1336.52,1497.11,1770.25,1883.17,1912.96,2341.3,2713.03,3323.86,3877.42,4426.38,4993.93,4668.28,2787.61
230850 Mombaça,1266.12,1351.05,1552.61,1785.97,1928.68,2173.04,2457.75,2564.78,3014.12,3046.67,3736.78,4072.78,3864.31,2544.92
230860 Monsenhor Tabosa,1270.84,1353.3,1531.03,1899.39,1980.18,2066.12,2427.22,2508.75,3273.69,3254.14,3882.4,4961.2,4335.27,2680.11
230870 Morada Nova,1944.04,1920.17,2264.71,2581.4,2824.11,2854.68,3430.03,3847.72,5079.49,5541.8,6171.32,7237.14,6736.77,3986.78
230880 Moraújo,1113.86,1377.37,1479.48,2047.67,2165.13,2668.55,2939.15,2704.41,2926.37,3199.53,4056.55,4572.04,4475.25,2804.99
230890 Morrinhos,1235.59,1225.45,1550.26,2200.08,1987.91,1977.96,2206.19,2316.95,2713.21,3039.22,3883.62,4293.04,4245.04,2577.69
230900 Mucambo,1112.77,1305.19,1504.78,1798.98,2059.94,1997.72,2247.2,2315.29,2966.45,3132.54,3800.69,4445.31,4308.15,2535.07
230910 Mulungu,1659.52,1642.65,1678.29,1908.39,2403.43,2709.45,3016.66,4155.13,4534.55,3923.88,4598.26,5090.98,4628.17,3359.16
230920 Nova Olinda,1625.45,1668.3,1928.61,2018.58,3887.78,2483.47,2853.81,2970.67,3429.41,3922.42,4571.27,5198.33,4835.22,3257.32
230930 Nova Russas,1543.05,1841.15,1897.66,2256.87,2442.69,2677.04,3007.37,3177.57,3769.3,3773.52,4745.33,5292,5398.07,3246.64
230940 Novo Oriente,1385.98,1653.87,1760.36,1894.67,1953.39,2168.41,2682.65,2769.04,3202.36,3253.3,3777.85,4843.82,4100.47,2755.94
230945 Ocara,1285.53,1388.6,1719.79,1880.23,2200.87,2074.36,2502.27,2394.74,2920.7,3070.63,3532.39,4052.26,3914.97,2570.87
230950 Orós,1730,1733.38,1960.31,2258.74,2260.4,2735.62,3159.4,3314.69,3920.9,4192.09,4969.54,5426.58,5481.53,3303.7
230960 Pacajus,5595.05,5644.26,6042.31,6341.68,7411.86,6911.16,6885.75,6924.52,7152.03,7719.91,8320.51,9495.1,9296.96,7350.47
230970 Pacatuba,2578.98,2975.36,3205.61,3213.76,3690.96,3535.8,5821.94,5705,6530.17,6634.28,7674.76,8682.32,8631.49,5562.89
230980 Pacoti,1696.95,1601.97,1659.45,2016.02,2313.26,2591.45,3154.77,3212.44,3925.47,4171.44,4741.63,5458.15,4742.7,3200.14
230990 Pacujá,1179.13,1587.79,1666.41,2014.61,2133.91,2195.14,2597.85,2610.64,3078.57,3405.8,4368.69,4560.28,4752.12,2799.72
231000 Palhano,1302.94,1417.76,1868.52,1864.62,2505.62,2243.99,2689.44,3998.21,3389.92,4195.43,5288.78,5226,4679.21,3178.23
231010 Palmácia,1376.53,1432.75,1520.34,1820.72,1914.28,2074.29,2435.58,2523.31,3049.7,3166.19,3632.84,4112.67,3825.95,2607.46
231020 Paracuru,2600.97,2616.6,3132.47,3593.46,3832.85,4433.39,4740.11,4530.76,5612.54,5115.18,6211.46,9245.43,12284.12,5313.08
231025 Paraipaba,1778.44,1845.56,1994.62,2389.3,2623.18,3046.62,3751.75,3788.81,4309.71,4707.42,5823.73,6659.34,6498.91,3874.39
231030 Parambu,1212.05,1369.5,1654.53,1916.5,1784.4,2137.78,2589.93,2269.34,3387.52,3226.1,3885.47,4241.1,4119.16,2579.96
231040 Paramoti,1162.52,1179.3,1453.86,1752.01,1981.23,2100.87,2625.28,2859.13,3387.37,3461.45,4392.67,5256.88,4564.44,2801.34
231050 Pedra Branca,1151.41,1206.01,1640.73,1669.19,1803.51,2178.54,2351.81,2342.2,3216.55,3136.16,3735.15,4353.49,4003.86,2530.89
231060 Penaforte,1265.32,1294.9,1491.97,1856.06,1934.75,2116.65,2564.12,3507.09,4100.71,4847.78,5349.36,5770.34,5898.09,3342.21
231070 Pentecoste,1307.97,1401.82,1631.81,1789.65,1942.43,2312.38,2952.47,3104.92,3676.68,4245.65,5170.11,6330.52,8399.5,3477.71
231080 Pereiro,1317.23,1271.48,1573.14,1816.99,1974.72,2018.61,2383.7,2534.97,3158.29,3383.41,3963.13,4564.76,4497.53,2665.79
231085 Pindoretama,1506.27,1666.84,1897.79,2246.18,2379.65,2645.62,2753.92,3037.42,3224.53,4283.21,4829.9,5358.37,5419.36,3271.95
231090 Piquet Carneiro,1342.99,1357.88,1700.68,1921.57,2117.6,2329.02,2623.82,2874.98,3067.48,3269.22,3962.02,4374.14,4221.69,2778.41
231095 Pires Ferreira,1235.78,1494.68,1655.23,2008.44,2234.42,2724.07,3347.4,2829.67,3137.54,3183.3,3747.92,4211.71,3869.94,2806.16
231100 Poranga,1086.97,1298.79,1340.33,1521,1713.67,1888.04,2227.84,2158.07,2643.8,2839.15,3522.84,3845.08,3495.84,2281.38
231110 Porteiras,1137.45,1182.39,1431.93,1814.02,1777.91,1939.62,2154.48,2422.22,3214.93,3527.24,3943.88,4462.86,4327.73,2538.2
231120 Potengi,1129.5,1209.83,1504.21,1789.2,1883.21,2159.16,2609.14,2481.99,3160.36,3374.58,3923.3,4263.55,4218.01,2638.14
231123 Potiretama,1892.84,1559.95,1946.48,2176.91,2559.51,2481.86,3005.08,3178.37,3559.18,3681.34,4622.74,5280.17,4922.73,3183.9
231126 Quiterianópolis,1113.21,1416.36,1629.9,1661.47,1751.56,2149.83,2648.2,2448.28,2950.19,2989.23,3592.33,5092.22,4720.45,2663.3
231130 Quixadá,2023.48,2191.29,2373.21,2714.35,2886.41,3146.31,3468.14,3710.89,4551.15,5591.67,6684.26,7400.62,7572.1,4280.72
231135 Quixelô,1551.36,2189.37,2064.32,2417.46,2508.15,2790.39,3489.42,2973.25,3365.03,3500.83,4447.17,5187.27,3873,3093.65
231140 Quixeramobim,1923.92,2046.07,2256.71,2856.56,3336.04,3576.24,4292.87,4695.87,4464.68,4739.24,5638.22,6608.73,6323.73,4182.15
231150 Quixeré,2192.15,3594.39,4621.29,4667.91,7836.62,6863.18,8559.56,9163.11,10176.5,6852.32,40018,8143.78,7529.53,9438.64
231160 Redenção,2115.07,2240.1,2377.5,2448.72,2719.02,2957.26,3667.33,2875.65,3430.19,3710.19,4569.85,5288.54,5231.99,3372.9
231170 Reriutaba,1257.2,1437.27,1478.77,1745.06,1937.16,2018.8,2352.16,2234.13,3346.09,3623.14,4405.29,5090.46,4950.7,2676.48
231180 Russas,2309.19,2460.51,2966.56,3514.86,4234.73,4541.26,5304.93,5673.14,6495.96,6454.97,7956.79,8583.69,8844.63,5486.2
231190 Saboeiro,1150.15,1193.34,1476.1,1624.68,1689.63,1914.06,1967.93,2122.7,2556.42,2895.54,3555.02,3935.14,3954.91,2296.93
231195 Salitre,1077.83,1513.19,2223.27,3327.2,2452.39,2171.7,2762.47,3357.95,4905.51,4622.98,4139.59,4969.48,4040.9,3261.84
231220 Santa Quitéria,1894.88,2076.75,2694.66,2895.39,3022.89,2908.51,3131.6,3207.53,4166.91,4226.18,5196.57,5885.44,5609.55,3612.19
